Year,Flow,Partner,PartnerDesc,Commodity,CommodityDesc,TradeValue,NetWeight
2023,,242,,85,,4322,0
2023,,12,,85,,41843,0
2023,,24,,85,,1122259,0
2023,,705,,85,,13258205,0
2023,,68,,85,,137240,0
2023,,768,,85,,91997,0
2023,,740,,85,,31300,0
2023,,558,,85,,135715,0
2023,,262,,85,,19557,0
2023,,36,,85,,9296409,0
2023,,203,,85,,81753852,0
2023,,50,,85,,1445441,0
2023,,566,,85,,2230128,0
2023,,417,,85,,31002409,0
2023,,52,,85,,52019,0
2023,,430,,85,,74555,0
2023,,208,,85,,53879686,0
2023,,364,,85,,48783,0
2023,,792,,85,,28711449,0
2023,,524,,85,,24093,0
2023,,762,,85,,1505630,0
2023,,842,,85,,94891551,0
2023,,170,,85,,1988137,0
2023,,340,,85,,842368,0
2023,,528,,85,,136924679,0
2023,,48,,85,,85255,0
2023,,531,,85,,117546,0
2023,,496,,85,,2141213,0
2023,,258,,85,,67340,0
2023,,398,,85,,51859569,0
2023,,233,,85,,272433453,0
2023,,400,,85,,245848,0
2023,,152,,85,,5557788,0
2023,,600,,85,,174926,0
2023,,512,,85,,598692,0
2023,,454,,85,,69830,0
2023,,372,,85,,9092669,0
2023,,32,,85,,299335,0
2023,,144,,85,,18696,0
2023,,136,,85,,1197,0
2023,,72,,85,,250735,0
2023,,540,,85,,97035,0
2023,,204,,85,,4665,0
2023,,716,,85,,27013,0
2023,,728,,85,,13588,0
2023,,752,,85,,211259626,0
2023,,352,,85,,2764548,0
2023,,324,,85,,69961,0
2023,,360,,85,,4345748,0
2023,,218,,85,,742802,0
2023,,579,,85,,54878920,0
2023,,104,,85,,55850,0
2023,,598,,85,,12435,0
2023,,388,,85,,82986,0
2023,,534,,85,,5289,0
2023,,344,,85,,9943598,0
2023,,320,,85,,856127,0
2023,,96,,85,,2298,0
2023,,8,,85,,649899,0
2023,,694,,85,,10993,0
2023,,140,,85,,6329,0
2023,,384,,85,,147943,0
2023,,800,,85,,100952,0
2023,,446,,85,,73958,0
2023,,120,,85,,124529,0
2023,,548,,85,,22826,0
2023,,894,,85,,18259,0
